feature_column,audit_scope,source_variable,variable_group,market_region,source_timestamp_convention,decision_timestamp_convention,same_calendar_observable_before_taiwan_decision,minimum_required_lag_tw_trading_days,inferred_lag_tw_trading_days,lag_inference_source,effective_date_used,explicit_lag_violation,metadata_source_variable,metadata_lag,metadata_effective_date,metadata_source_timestamp,requires_external_lag,lag_ambiguous
0050_momentum_10d_lag1,in_scope,0050,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
0050_volatility_10d_lag1,in_scope,0050,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
0050_ma_ratio_10d_lag1,in_scope,0050,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
0050_return_zscore_10d_lag1,in_scope,0050,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
0050_momentum_20d_lag1,in_scope,0050,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
0050_volatility_20d_lag1,in_scope,0050,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
0050_ma_ratio_20d_lag1,in_scope,0050,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
0050_return_zscore_20d_lag1,in_scope,0050,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
0050_momentum_60d_lag1,in_scope,0050,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
0050_volatility_60d_lag1,in_scope,0050,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
0050_ma_ratio_60d_lag1,in_scope,0050,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
0050_return_zscore_60d_lag1,in_scope,0050,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
0050_rsi_14d_lag1,in_scope,0050,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
0050_drawdown_60d_lag1,in_scope,0050,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
006208_ret_lag_1d,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
006208_ret_lag_2d,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,2,feature_name,t-2 Taiwan trading day(s),False,,,,,False,False
006208_ret_lag_3d,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,3,feature_name,t-3 Taiwan trading day(s),False,,,,,False,False
006208_ret_lag_5d,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,5,feature_name,t-5 Taiwan trading day(s),False,,,,,False,False
006208_ret_lag_10d,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,10,feature_name,t-10 Taiwan trading day(s),False,,,,,False,False
006208_ret_lag_20d,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,20,feature_name,t-20 Taiwan trading day(s),False,,,,,False,False
006208_momentum_5d_lag1,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
006208_volatility_5d_lag1,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
006208_ma_ratio_5d_lag1,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
006208_return_zscore_5d_lag1,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
006208_momentum_10d_lag1,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
006208_volatility_10d_lag1,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
006208_ma_ratio_10d_lag1,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
006208_return_zscore_10d_lag1,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
006208_momentum_20d_lag1,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
006208_volatility_20d_lag1,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
006208_ma_ratio_20d_lag1,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
006208_return_zscore_20d_lag1,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
006208_momentum_60d_lag1,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
006208_volatility_60d_lag1,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
006208_ma_ratio_60d_lag1,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
006208_return_zscore_60d_lag1,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
006208_rsi_14d_lag1,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
006208_drawdown_60d_lag1,in_scope,006208,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00692_ret_lag_1d,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00692_ret_lag_2d,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,2,feature_name,t-2 Taiwan trading day(s),False,,,,,False,False
00692_ret_lag_3d,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,3,feature_name,t-3 Taiwan trading day(s),False,,,,,False,False
00692_ret_lag_5d,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,5,feature_name,t-5 Taiwan trading day(s),False,,,,,False,False
00692_ret_lag_10d,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,10,feature_name,t-10 Taiwan trading day(s),False,,,,,False,False
00692_ret_lag_20d,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,20,feature_name,t-20 Taiwan trading day(s),False,,,,,False,False
00692_momentum_5d_lag1,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00692_volatility_5d_lag1,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00692_ma_ratio_5d_lag1,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00692_return_zscore_5d_lag1,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00692_momentum_10d_lag1,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00692_volatility_10d_lag1,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00692_ma_ratio_10d_lag1,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00692_return_zscore_10d_lag1,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00692_momentum_20d_lag1,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00692_volatility_20d_lag1,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00692_ma_ratio_20d_lag1,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00692_return_zscore_20d_lag1,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00692_momentum_60d_lag1,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00692_volatility_60d_lag1,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00692_ma_ratio_60d_lag1,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00692_return_zscore_60d_lag1,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00692_rsi_14d_lag1,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00692_drawdown_60d_lag1,in_scope,00692,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00881_ret_lag_1d,in_scope,00881,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00881_ret_lag_2d,in_scope,00881,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,2,feature_name,t-2 Taiwan trading day(s),False,,,,,False,False
00881_ret_lag_3d,in_scope,00881,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,3,feature_name,t-3 Taiwan trading day(s),False,,,,,False,False
00881_ret_lag_5d,in_scope,00881,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,5,feature_name,t-5 Taiwan trading day(s),False,,,,,False,False
00881_ret_lag_10d,in_scope,00881,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,10,feature_name,t-10 Taiwan trading day(s),False,,,,,False,False
00881_ret_lag_20d,in_scope,00881,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,20,feature_name,t-20 Taiwan trading day(s),False,,,,,False,False
00881_momentum_5d_lag1,in_scope,00881,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00881_volatility_5d_lag1,in_scope,00881,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00881_ma_ratio_5d_lag1,in_scope,00881,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00881_return_zscore_5d_lag1,in_scope,00881,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00881_momentum_10d_lag1,in_scope,00881,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00881_volatility_10d_lag1,in_scope,00881,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
00881_ma_ratio_10d_lag1,in_scope,00881,Taiwan ETF prices/returns,Taiwan,Taiwan ETF close on date t,Taiwan after-close forecast/allocation timestamp; same-calendar-date U.S. market close is not assumed observable before the Taiwan decision.,"Yes, if decision occurs after Taiwan close",0,1,feature_name,t-1 Taiwan trading day(s),False,,,,,False,False
